ProductName,ID,Color1,Color2,Color3,Dimensions1,Dimensions2,Brand,Material,ProductBelongsTo,Style1,Style2
Blacks Wool Abstract Area Rug by Shobha Woollens,1,Black,,,"72,48","96,60",Shobha Woollens,Wool,Abstract,Contemporary,
Woodway Six Seater Dining Table with Glass Top in Provincial Teak Finish by Woodsworth,2,Provincial Teak,,,"30,72,35",,Woodsworth,Sheesham Wood,Dining Chairs,Contemporary,
Oritz LHS Three Seater Sofa with Lounger and Cushions in Burnt Sienna Colour by CasaCraft,3,Burnt Sienna,,,"33,109,104",,CasaCraft,Fabric,Sofas & Sectionals,Contemporary,
Sperry Coffee Table in Natural Finish by Bohemiana,4,Natural,,,"18,32,32",,Bohemiana,Acacia Wood,Coffee Tables,Contemporary,
Afydecor Brown Ply Wood Free-form Silhouette Wall Shelf,5,Brown,,,"60,7,29",,Afydecor,Ply Wood ,Contemporary Wall Shelves,Contemporary,
Grey Leather 35 x 59 Inch Large Rug Stripes Rug by SWHF,6,Grey,,,"35,59",,SWHF,Leather,Geometric,Contemporary,
White De Cotton Tinker Floor Lamp by Orange Tree,7,Nickel,,,"10,16",,Orange Tree,Steel,Contemporary Floor Lamps,Contemporary,
Jordana Three Seater Sofa in Cherry Colour by CasaCraft,8,Cherry,,,"32,84,35",,CasaCraft,Fabric,Sofas & Sectionals,Contemporary,
Vinyl 48 x 0.5 x 18 Inch Guernica by Pablo Picasso Premium Quality Ready to Hang Framed Art Panels - Set of 4 by Tallenge,9,Black,,,"48,0.5,18",,Tallenge,Vinyl,Paintings,Contemporary,
Wellesley Low Height Solid Coffee Table in Provicial Teak Finish by Woodsworth,10,Provincial Teak,,,"14,33,33",,Woodsworth,Mango Wood,Coffee Tables,Contemporary,
Santa Fe Solid Wood King Bed with Storage in Provincial Teak Finish by Woodsworth,11,Provincial Teak,,,"40,75,83",,Woodsworth,Sheesham Wood,Beds,Modern,
Multi Colored Ethnic Print Taba Rug by Status,12,Brown,,,"48,72",,Status,Nylon,Indian Ethnic Carpets & Rugs,Modern,
Presque Console Table in Provincial Teak Finish by Woodsworth,13,Provincial Teak,,,"30,39,10",,Woodsworth,Sheesham Wood,Coffee Tables,Modern,Contemporary
William Arm Chair in Provincial Teak Finish by Amberville,14,Provincial Teak,,,"23,30,18",,Amberville,Sheesham Wood,Arm Chairs,Modern,
Contemporary Leatherette King Size Bed with Square Deep Stitch Pattern in White Finish by Afydecor,15,White,,,"41,82,88",,Afydecor,Ply Wood ,Beds,Modern,Contemporary
Vienna Night Stand in White Colour by @Home,16,White,Provincial Teak,Black,"19,20,16",,AtHome,Engineered Wood,Bedside Tables,Modern,Contemporary
Foyer Silver Metal Chandelier,17,Silver,,,"18,18,12",,Foyer,Metal,Colonial Chandeliers,Modern,
MDF 27 x 9 Inch 3-Panel Pink Flower Wall Decor by Go Hooked,18,Pink,,,"27,4,9 ",,Go Hooked,MDF,Art Panels,Modern,
Ambadi Gray Polypropylene Solid Area Rug,19,Gray,Dark Gray,,"32,66,48",,Ambadi,Polypropylene,Solids,Modern,Contemporary
Oritz Three Seater Sofa with Cushions in Pale Taupe Colour by CasaCraft,20,White,Pink,Light Blue,"33,86,34",,CasaCraft,Fabric,Sofas & Sectionals,Colonial,Modern
Segmented Coffee Table in Wenge Colour by AfyDecor,21,Wenge,,,"14,36,36",,Afydecor,Engineered Wood,Coffee Tables,Colonial,
Wall Decor Canvas 24 x 24 Inch Tree Framed Digital Art Print,22,Multicolor,,,"24,24,1",,Wall Décor,Canvas,Digital Art Prints,Colonial,Contemporary
Kellogg Table Lamp in Beige by Amberville,23,Beige,,,"14,14,23",,Amberville,Wood,Colonial,Colonial,
Vinyl 48 x 0.4 x 48 Inch Unusual Bright Colourful Geometric Abstract Painting Unframed Digital Art Print by 999Store,24,Multicolor,,,"48,0.4,48",,999Store,Vinyl,,Eclectic,Contemporary
