,Name,UserId,Area,Region,Kind of place,Gender,Cost,No. of people living,Completion
1,Q,20,40 60,Bengaluru,House,M,1000000,4,H
2,P,25,30 40,Mysuru,Office,F,2000000,8,F
3,R,30,40 60 ,Bengaluru,House,M,1000000,3,H
4,S,35,40 60,Bengaluru,House,M,1000000,4,H
5,T,40,40 60 ,Bengaluru,House,M,2000000,5,F
6,U,45,30 40 ,Bengaluru,House,F,1000000,4,H
7,V,50,30 40,Mumbai,House,M,2500000,6,F
8,W,55,40 60,Mumbai,Office,F,3000000,15,F
9,X,60,40 60,Bengaluru,House,M,1000000,5,H
10,Y,65,30 40,Bengaluru,House,M,2500000,4,F
11,Z,70,30 40,Bengaluru,House,M,1500000,3,H
